url	title	type	on_disk
/	Главная	Главная	True
/akademiya	Академия Raskrutov	Хаб	True
/akademiya/korporativnoe-obuchenie	Корпоративное обучение	Обучение	True
/akademiya/obuchenie-r-builder	Обучение R-Builder	Обучение	True
/akademiya/obuchenie-seo-aeo	Обучение SEO и AEO	Обучение	True
/akademiya/obuchenie-sozdaniyu-saytov	Обучение созданию сайтов	Обучение	True
/crm	CRM и автоматизация	Хаб	True
/crm/avtomatizatsiya-prodazh	Автоматизация продаж	Услуга	True
/crm/integratsiya-s-crm	Интеграция с CRM	Услуга	True
/crm/vnedrenie-crm	Внедрение CRM	Услуга	True
/faq	Вопросы и ответы	FAQ-хаб	True
/faq/aeo	FAQ по AEO	FAQ	True
/faq/akademiya	FAQ по Академии	FAQ	True
/faq/crm	FAQ по CRM	FAQ	True
/faq/partnerstvo	FAQ по партнёрству	FAQ	True
/faq/sayty	FAQ по сайтам	FAQ	True
/faq/seo	FAQ по SEO	FAQ	True
/keysy	Кейсы Raskrutov	Хаб	True
/keysy/akademiya	Кейсы: Академия	Кейсы	True
/keysy/crm	Кейсы: CRM	Кейсы	True
/keysy/partnery	Кейсы: партнёры	Кейсы	True
/keysy/prodvizhenie	Кейсы: продвижение	Кейсы	True
/keysy/sayty	Кейсы: сайты	Кейсы	True
/kontakty	Контакты Raskrutov	Контакты	True
/o-kompanii	О компании Raskrutov	Хаб	True
/o-kompanii/blagodarstvennye-pisma	Благодарственные письма	Инфо	True
/o-kompanii/blog	Блог	Инфо	True
/o-kompanii/klienty	Наши клиенты	Инфо	True
/o-kompanii/komanda	Команда	Инфо	True
/o-kompanii/o-nas	О нас	Инфо	True
/o-kompanii/vakansii	Вакансии	Инфо	True
/partneram	Партнёрам Raskrutov	Хаб	True
/partneram/deystvuyushchie-partnery	Действующие партнёры	Партнёрство	True
/partneram/dlya-reklamnyh-agentstv	Для рекламных агентств	Партнёрство	True
/partneram/franshiza	Партнёрская программа — франшиза	Партнёрство	True
/partneram/pakety-partnerstva	Пакеты партнёрства	Партнёрство	True
/r-builder	R-Builder	Хаб продукта	True
/r-builder/ai-r-builder	AI R-Builder	Продукт	True
/r-builder/chto-takoe-r-builder	Что такое R-Builder	Продукт	True
/r-builder/dlya-biznesa	R-Builder для бизнеса	Продукт	True
/r-builder/vozmozhnosti	Возможности платформы	Продукт	True
/web-studiya	Вебстудия Raskrutov	Хаб	True
/web-studiya/aeo-prodvizhenie	AEO-продвижение	Услуга	False
/web-studiya/digital-konsalting	Digital-консалтинг	Хаб услуги	True
/web-studiya/digital-konsalting/audit-prodvizheniya	Аудит продвижения	Узкая услуга	True
/web-studiya/digital-konsalting/audit-sayta	Аудит сайта	Узкая услуга	True
/web-studiya/digital-konsalting/digital-strategiya	Digital-стратегия	Узкая услуга	True
/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa	Консультация для бизнеса	Узкая услуга	True
/web-studiya/dizayn	Услуги дизайнера	Хаб услуги	True
/web-studiya/dizayn/brendbuk	Создание брендбука	Узкая услуга	True
/web-studiya/dizayn/logotip	Создание логотипа	Узкая услуга	True
/web-studiya/dizayn/neyming	Нейминг	Узкая услуга	True
/web-studiya/kontekstnaya-reklama	Контекстная реклама	Услуга	True
/web-studiya/kontekstnaya-reklama/google-ads	Контекстная реклама в Google	Узкая услуга	True
/web-studiya/kontekstnaya-reklama/yandex-direct	Контекстная реклама в Яндекс	Узкая услуга	True
/web-studiya/kontekstnaya-reklama/almaty	Контекстная реклама в Алматы	Регион услуги	True
/web-studiya/kontekstnaya-reklama/astana	Контекстная реклама в Астане	Регион услуги	True
/web-studiya/kontekstnaya-reklama/shymkent	Контекстная реклама в Шымкенте	Регион услуги	True
/web-studiya/kontekstnaya-reklama/karaganda	Контекстная реклама в Караганде	Регион услуги	True
/web-studiya/lidogeneratsiya	Лидогенерация	Услуга	True
/web-studiya/podderzhka-saytov	Поддержка сайтов	Услуга	True
/web-studiya/seo-prodvizhenie	SEO-продвижение	Услуга	True
/web-studiya/seo-prodvizhenie/google	Продвижение в Google	Узкая услуга	True
/web-studiya/seo-prodvizhenie/yandex	Продвижение в Яндекс	Узкая услуга	True
/web-studiya/sozdanie-saitov	Создание сайтов	Услуга	True
/web-studiya/sozdanie-saitov/ai-konsultanty	Внедрение AI-консультантов	Узкая услуга	True
/web-studiya/sozdanie-saitov/crm-sistemy	Внедрение CRM-систем	Узкая услуга	True
/web-studiya/sozdanie-saitov/integratsii	Интеграции	Узкая услуга	True
/web-studiya/sozdanie-saitov/internet-magazin	Создание интернет-магазинов	Узкая услуга	True
/web-studiya/sozdanie-saitov/korporativnyy-sayt	Создание корпоративного сайта	Узкая услуга	True
/web-studiya/sozdanie-saitov/landing	Создание лендингов	Узкая услуга	True
/web-studiya/sozdanie-saitov/mnogostranichnye-sayty	Создание многостраничных сайтов	Узкая услуга	True
/web-studiya/sozdanie-saitov/obsluzhivanie-saytov	Обслуживание сайтов	Узкая услуга	True
/web-studiya/sozdanie-saitov/onlayn-kalkulyatory	Разработка онлайн-калькуляторов	Узкая услуга	True
/web-studiya/sozdanie-saitov/onlayn-shkola	Создание онлайн-школ	Узкая услуга	True
/web-studiya/sozdanie-saitov/redizayn-sayta	Редизайн сайтов	Узкая услуга	True
/web-studiya/sozdanie-saitov/sayt-vizitka	Создание сайта-визитки	Узкая услуга	True
